gene_id	gene_label	case_mean	control_mean	log2_fold_change	p_value	adjusted_p_value	neg_log10_adjusted_p	classification
117583	PARD3B [117583]	539.000000	495.333333	0.121650	4.434950e-01	1.000000e+00	-0.000000	Not significant
105372471	LOC105372471 [105372471]	29.333333	32.000000	-0.121562	8.077578e-01	1.000000e+00	-0.000000	Not significant
27158	NDOR1 [27158]	560.333333	609.666667	-0.121527	7.229265e-01	1.000000e+00	-0.000000	Not significant
79943	ZNF696 [79943]	116.666667	127.000000	-0.121438	6.151372e-01	1.000000e+00	-0.000000	Not significant
100500820	MIR3655 [100500820]	75.000000	81.666667	-0.121306	5.009132e-01	1.000000e+00	-0.000000	Not significant
135250	RAET1E [135250]	19.666667	18.000000	0.121306	7.862656e-01	1.000000e+00	-0.000000	Not significant
26047	CNTNAP2 [26047]	19.666667	18.000000	0.121306	6.060565e-01	1.000000e+00	-0.000000	Not significant
373509	USP50 [373509]	18.000000	19.666667	-0.121306	6.870133e-01	1.000000e+00	-0.000000	Not significant
79149	ZSCAN5A [79149]	56.000000	61.000000	-0.121306	5.610799e-01	1.000000e+00	-0.000000	Not significant
317762	CCDC85C [317762]	671.666667	730.666667	-0.121295	4.462049e-01	1.000000e+00	-0.000000	Not significant
101929243	ILRUN-AS1 [101929243]	63.666667	69.333333	-0.121186	6.310449e-01	1.000000e+00	-0.000000	Not significant
324	APC [324]	1087.000000	1182.333333	-0.121178	5.448818e-01	1.000000e+00	-0.000000	Not significant
728294	D2HGDH [728294]	1186.666667	1091.000000	0.121157	7.778197e-01	1.000000e+00	-0.000000	Not significant
58499	ZNF462 [58499]	611.666667	665.333333	-0.121142	6.304981e-01	1.000000e+00	-0.000000	Not significant
374618	TEX9 [374618]	77.666667	71.333333	0.121092	5.832035e-01	1.000000e+00	-0.000000	Not significant
7728	ZNF175 [7728]	360.666667	392.333333	-0.121092	5.567051e-01	1.000000e+00	-0.000000	Not significant
728819	C1GALT1C1L [728819]	25.666667	28.000000	-0.121015	6.028504e-01	1.000000e+00	-0.000000	Not significant
100126351	MIR939 [100126351]	25.666667	28.000000	-0.121015	5.799905e-01	1.000000e+00	-0.000000	Not significant
221937	FOXK1 [221937]	1239.000000	1139.333333	0.120885	6.608844e-01	1.000000e+00	-0.000000	Not significant
140710	SOGA1 [140710]	2093.000000	2276.000000	-0.120873	4.606049e-01	1.000000e+00	-0.000000	Not significant
283248	RCOR2 [283248]	33.333333	36.333333	-0.120854	6.045338e-01	1.000000e+00	-0.000000	Not significant
3750	KCND1 [3750]	115.333333	106.000000	0.120654	6.509112e-01	1.000000e+00	-0.000000	Not significant
728888	NPIPB11 [728888]	315.000000	289.666667	0.120559	8.325279e-01	1.000000e+00	-0.000000	Not significant
51166	AADAT [51166]	91.000000	99.000000	-0.120294	5.778782e-01	1.000000e+00	-0.000000	Not significant
112268301	LOC112268301 [112268301]	229.000000	249.000000	-0.120294	7.291905e-01	1.000000e+00	-0.000000	Not significant
414245	DNAJC9-AS1 [414245]	82.333333	75.666667	0.120294	4.922070e-01	1.000000e+00	-0.000000	Not significant
158381	ATP8B5P [158381]	6.666667	7.333333	-0.120294	8.466870e-01	1.000000e+00	-0.000000	Not significant
100128882	ZFPM1-AS1 [100128882]	6.666667	7.333333	-0.120294	8.801685e-01	1.000000e+00	-0.000000	Not significant
